case_number,published_date,report_number,category,product,brand,name,model,production_dates,ec_type_approval,company_recall_code,risk_type,danger,risk_description,legal_provisions,measures,measures_economic_operators,description,notifying_country,country_of_origin,risk_level,reference_url,recall_website
A12/00439/23,,,Motor vehicles,Passenger car,Peugeot,208 II,"e2*2007/46*0639*12, *14, *15, *17, *18",22/2/2021 - 9/2/2022,,KXP,Fire,"Due to damage to the heating/ventilation/air conditioning (HVAC) harness caused by contact with the clutch pedal, the air conditioning may be activated automatically. This could lead to a fire as a result of a short circuit in the wires.  The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 05/05/2022,,"Passenger car, Peugeot 208 II, vehicles used by driving schools",France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007771,
A12/00438/23,,,Motor vehicles,Passenger car,"Citroën, Peugeot",Citroën C5 Aircross (C84) / Peugeot 5008 II (P87),"e2*2007/46*0534*20, e2*2007/46*0642*16",23/12/2021,,JFTKZG,Injuries,"Due to insufficient tightening of the wheel hub on the rear axle, tilting of the wheel plane may occur. This can lead to loss of vehicle control, creating a risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 08/06/2022,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007772,
A12/00437/23,,,Motor vehicles,Passenger car,CITROEN,C3 V4 (B618),"e2*2007/46*0003*67, e2*2007/46*0060*33",02/04/2022 - 04/04/2022,,JKE,Injuries,"Insufficient tightening of screws could lead to the uncoupling of a connection between a wheel and the axle arm (front and rear), a rupture of the parking brake cable and/or a door opening unexpectedly during driving, creating a risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 26/09/2022,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007789,
A12/00436/23,,,Motor vehicles,Passenger car,Opel,ASTRA L (OV512),"e2*2007/46*0628*18, e2*2007/46*0628*19",23/04/2022 - 17/05/2022,,KDY,Injuries,"The front seatbelt pre-tensioner may malfunction, which can cause the driver seatbelt pre-tensioner not to be activated when the passenger airbag is locked, creating a risk of injury.  The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 17/11/2022,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007800,
A12/00440/23,,,Motor vehicles,Passenger car,Mercedes-Benz,C-Class,"R2CW, R2CS, e1*2018/858*00016*00, e1*2018/858*00017*00, Einzelabnahmen",15.10. 2020 - 23.04.2021,,8891010,Injuries,"Improper foam used in the front bumper may cause the active hood release to fail to deploy in the event of a collision with a pedestrian, increasing the risk of injury. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007879,
A12/00311/23,,,Motor vehicles,Passenger car,"CITROEN, DS, Peugeot",Citroën C5 Aircross (C84) / DS7 Crossback (X74) / Peugeot 508 V2,"508 V2 : e2*2007/46*0628*00 - 07, C5 AIRCROSS (C84) : e2*2007/46*0642*01 - 08, DS7 CROSSBACK (X74) : e2*2007/46*0601*05 -10",508 V2: 31/1/2018 - 13/3/2020C5 AIRCROSS (C84): 20/6/2018 - 16/6/2020DS7 CROSSBACK (X74): 16/5/2018 - 13/3/2020,,JHHMAS,Injuries,"A software error may cause the engine to stall when operating at altitude, in cold temperatures. This can lead to a loss of braking assistance, increasing the risk of an accident.. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 26/07/2022,,Passenger car equipped with a BlueHDi 1.5L engine and an automatic gearbox.,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007764,
A12/00309/23,,,Motor vehicles,Passenger car,"Citroën, Opel, Peugeot",Citroën Berlingo (K9 Europe) / Peugeot Partner / Rifter (K9 Europe)/ Opel Combo (K9 Europe - P1VO),"BERLINGO (K9 EUROPE): e2*2007/46*0000*00, e2*2007/46*0624*00 - 09, e2*2007/46*0623*05, e2*2007/46*0625*02 -15, COMBO (K9 Europe - P1VO): e2*2007/46*0622*03 - 08, e2*2007/46*0623*02  - 14, PARTNER / RIFTER (K9 EUROPE): e2*2007/46*0624*00 - 11, e2*2007/46*0623*05, e2*2007/46*0000*00, e2*2007/46*0625*02 - 16",BERLINGO (K9 EUROPE): 08/11/2017 - 21/9/2021Combo (K9 Europe – P1VO): 12/03/2018 - 17/9/2021PARTNER/RIFTER (K9 EUROPE): 08/11/2017 - 21/9/2021,,JAPKAEKUZ,Fire,"The underbody cover fails to protect against accumulation of flammable materials under the engine, creating a risk of fire.    The product does not comply with the  Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 01/11/2022,,Passenger car with metal protection underneath the engine.,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007794,
A12/00308/23,,,Motor vehicles,Passenger car,Toyota,"Proace, Proace Verso","e2*2007/46*0537, e2*2007/46*0538",,,CI22-042,Injuries,"The screws in the front subframe and the steering rack may not be tightened to the required torque, which can cause these parts to become detached, which in turn can reduce vehicle control and increase the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 27/09/2022,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007803,
A12/00332/23,,,Motor vehicles,Passenger car,Peugeot,208 II,"e2*2007/46*0639*11, e2*2007/46*0639*12, e2*2007/46*0639*14",02/12/2020 - 11/04/2021,,KYD,Injuries,"The vehicle may inadvertently accelerate approximately 30 km/h above the set cruise-control speed when cruise control and the ECO mode are activated. This could increase the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 05/05/2022,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007875,
A12/00383/23,,,Motor vehicles,Passenger car,Kia,Sorento,"XM FL, e11*2007/46*0634*",6.03.2012 - 14.08.2014,,221086,Fire,"Damage to the auxiliary heater may cause an electrical fault. This can increase thermal heat generation, increasing the risk of fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Republic of Korea,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007888,
A12/00393/23,,,Motor vehicles,Passenger car,VW,Tiguan,"5N, e1*2001/116*0450*",17.5.2021 - 1.8.2021,,42L7,Injuries,"The rear wheel bearing housing can break, affecting the stability of the vehicle, creating a risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Mexico,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007929,
A12/00392/23,,,Motor vehicles,Passenger car,Mercedes-Benz,CLC-class,"203 CL, e1*98/14*0159*00-*25",20.10.2000 - 23.12.2010,,"7891007, 7891008",Injuries,"Due to improper bonding, the glass panel to the sunroof frame may detach, creating a risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007938,
A12/00391/23,,,Motor vehicles,Passenger car,Mercedes-Benz,"C-Class, CLK, E-Class, CLS","203, 203 K, 211, 211 K, 209, 219, e1*98/14*0139*00-*24, e1*98/14*0158*01-*20, e1*98/14*0183*00-*21, e1*2001/116*0213*00-*17, e1*98/14*0184*00-*16, e1*2001/116*0295*00-*15",24.01.2000 - 23.12.2010,,7891009,Injuries,"Due to improper adhesive bonding of the glass panel to the sliding roof frame, the panel may detach from the moving vehicle, creating a risk of an accident, injuries. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007939,
A12/00373/23,,,Motor vehicles,Passenger car,Opel,GRANDLAND X (P1UO),"e2*2007/46*0601*00 e2*2007/46*0601*01 e2*2007/46*0601*02 e2*2007/46*0601*04 e2*2007/46*0601*05 e2*2007/46*0601*06 e2*2007/46*0601*08 e2*2007/46*0601*09 e2*2007/46*0601*10, e2*2007/46*0601*11 e2*2007/46*0601*12 e2*2007/46*0601*13 e2*2007/46*0601*15",08/09/2017 - 24/11/2020,,KBD,Environment,"The diesel particle filter may overheat and develop cracks. This could have a negative impact on the environment. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 08/07/2022,,Particle filter,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007940,
A12/00277/23,,,Motor vehicles,Passenger car,Mercedes-Benz,EQE Class,"E2EQEW, e1*2018/858*00036*00 -*02",24.03.2022 - 2.08.2022,,6891206,Injuries,"The airbag in the upper B-pillar may not open as intended, increasing the risk of injury in the event of an accident.Moreover, the B-pillar cladding could become detached and end up inside the vehicle, increasing the risk of injury to vehicle occupants.  The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007812,
A12/00270/23,,,Motor vehicles,Passenger car,CITROEN,C4 PICASSO (B78)  C5 AIRCROSS (C84),"C4 PICASSO (B78) : e2*2007/46*0356*15 à 18    e2*2007/46*0356*21 à 24, C5 AIRCROSS (C84) : e2*2007/46*01 à 05   e2*2007/46*0642*07 à 11",C4 PICASSO (B78)	01/12/2017 to 18/02/2021C5 AIRCROSS (C84)	14/06/2018 to 18/01/2022,,JCBJCDJCE,Environment,"The diesel particle filter may overheat and develop cracks. This could have a negative impact on the environment. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 08/07/2022,,Vehicles equipped with a 2-litre diesel engine,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007863,
A12/00271/23,,,Motor vehicles,Passenger car,"DS automobiles, Peugeot",DS7 CROSSBACK (X74) / 3008 V2 (P84) 308 V2 (T9)  5008 V2 (P87)  508 V2 (R823 EUROPE),"3008 V2 (P84) e2*2007/46*0534*04 e2*2007/46*0534*05 e2*2007/46*0534*08 e2*2007/46*0534*09 e2*2007/46*0534*11 e2*2007/46*0534*12 e2*2007/46*0534*14 à 16, 308 V2 (T9) e2*2007/46*0405*16 e2*2007/46*0405*18 e2*2007/46*0405*22 à 28, 5008 V2 (P87) e2*2007/46*0534*04 e2*2007/46*0534*05 e2*2007/46*0534*08 e2*2007/46*0534*09 e2*2007/46*0534*10 à 16, 508 V2 (R823 EUROPE) e2*2007/46*0628*00 à 10, DS7 CROSSBACK (X74) : e2*2007/46*0601*10 e2*2007/46*0601*11 e2*2007/46*0601*12 e2*2007/46*0601*13 e2*2007/46*0601*15, DS7 CROSSBACK (X74) e2*2007/46*0601*00 e2*2007/46*0601*01 e2*2007/46*0601*02 e2*2007/46*0601*04 e2*2007/46*0601*05 e2*2007/46*0601*06 e2*2007/46*0601*08 e2*2007/46*0601*09",3008 V2 (P84) 29/03/2017 19/01/2022308 V2 (T9) 12/01/2017 20/07/20205008 V2 (P87) 26/04/2017 31/01/2022508 V2 (R823 EUROPE) 11/01/2018 12/10/2021DS7 Crossback : 27/03/2017 to 14/01/2022,,JCDJCEKWLKWM,Environment,"The diesel particle filter may overheat and develop cracks. This could have a negative impact on the environment. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 08/07/2022,,Vehicles fitted with a 2-litre diesel engine,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007866,
A12/00246/23,,,Motor vehicles,Passenger car,Peugeot,208 V2 (P21),e2*2007/46*0639*07 - 21,19/03/2020 - 24/10/2022,,MDZ,Injuries,"The locking nuts of the steering tie rods may not be properly tightened. This could lead to loss of control over the vehicle, creating a risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of Motor Vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 23/12/2022,,Passenger car.,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007820,
A12/00244/23,,,Motor vehicles,Passenger car,Toyota,RAV4 PHEV,e6*2007/46*0429*00,26.11.2019 - 17.6.2021,,23SD-003,Injuries,"The voltage of the high voltage (HV) battery may drop rapidly when the accelerator pedal is rapidly pressed to further accelerate the vehicle after it has been continuously driven in “EV mode” in cold outside temperatures.As a result, the hybrid system will shut down, resulting in loss of motive power, which may lead to an increased risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Model code: RAV4 PHEV (AXAP54); Model year: 2021.,Portugal,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007836,
A12/00185/23,,,Motor vehicles,Passenger car,Mercedes-Benz,"M-, GLE-, GL-, GLS-, GLC-, GLK-, C-, E-, CLS-, S-Class","166, 204 X, 204, 204 K, 212, 212 K, R1ES, 218, 221, R1EC, e1*2007/46*0485*00-*16, e1*2001/116*0335*19-*33, e1*2007/46*1666*00-*01, e1*2007/46*0598*00-*22, e1*2001/116*0480*08-*23, e1*2001/116*0431*15-*43, e1*2001/116*0457*28, e1*2001/116*0501*05-*32, e1*2007/46*0200*04-*25, e1*2007/46*1560*00-*05,",14.04.2010 -12.04.2017,,4694204,Injuries,"The aluminium bolts of the steering box may break. This can lead to detachment of the steering box from the power block, creating a risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007699,
A12/00184/23,,,Motor vehicles,Passenger car,Volvo,V60 - C40 - XC40 - XC60 - XC90,e4*2007/46*1315; e4*2007/46*1067; e4*2007/46*1220; e4*2007/46*0929; e9*2007/46*3146;,2023,,R10217,Injuries,"A software error in the brake control module can lead to a loss of braking power, creating a risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 23/01/2023,,Passenger car,Belgium,Sweden,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007721,
A12/00149/23,,,Motor vehicles,Passenger car,Mercedes-Benz,"GLE-Class, GLS-Class","H1GLE, e1*2007/46*1885*13-*17",19.07.2021 - 03.08.2022,,4692108,Injuries,"Insufficient fastening of the bolts can cause the steering coupling to come loose from the steering spindle. This affects the steering capacity of the vehicle, creating a the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007640,
A12/00150/23,,,Motor vehicles,Passenger car,VW,ID. BUZZ,"EB, EBN, e1*2018/858*00164*, e1*2018/858*00165*",18.07.2022 - 4.11.2022,,44T3,Injuries,"Due to improper manufacturing of individual tyres, they can suddenly lose air. A sudden loss of air in the tyres can affect driving stability, increasing the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car fitted with summer tyres of size and design 255/50 R19 107T XL Eco Contact 6Q ContiSeal (+).,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007654,
A12/00173/23,,,Motor vehicles,Passenger car,VW,ID.4,"E2, e1*2018/858*00004*",18.8.2022 - 14.10.2022,,69EK,Injuries,"The bolt connection of the seat belt retractor on the driver and/or passenger side was improperly tightened during the manufacturing process. This can lead to the impairment of the protection capacity in the event of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007676,
A12/00175/23,,,Motor vehicles,Passenger car,Smart,"EQ fortwo cabrio, EQ fortwo coupe","451, e1*2001/116*0413*48",28.4.2022 - 4.10.2022,,3594018,Injuries,"The screw between the rear axle and the body can come loose, causingdisconnection or even complete detachment of the centre bearing of the rear axle from the body. In this case, the wheel guidance can be lost, creating a risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007689,
A12/00133/23,,,Motor vehicles,Passenger car,Mercedes-Benz,EQE-Class,"E2EQEW, e1*2018/858*00036*00",30.11.2021 - 7.3.2022,,4290010,Injuries,"Due to an improper software version of the Electronic Stability Program (ESP), some manoeuvrers such as braking on ice or snow could cause the vehicle to become unstable, increasing the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007623,
A12/00090/23,,,Motor vehicles,Passenger car,Ford,Tourneo Connect,"SK, e13*2018/858*00270*01",3.03.2022 - 7.07.2022,,22S70,Injuries,"Lower control arms may not meet specifications, which can cause these parts to break. In such case a wheel might hit the wheel housing which in turn can lead to impaired steering and a loss of control of the vehicle, increasing the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Poland,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007517,
A12/00019/23,,,Motor vehicles,Passenger car,Toyota,GR86,"e13*2018/858*00225*01, e13*2018/858*00225*02",17.03.2022 - 26.10.2022,,22SMD-125,Injuries,"The Data Communication Module (DCM), may not have been activated during the pre-delivery service.In this condition, there is no warning to the vehicle occupant that the system cannot place an emergency call in the event of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Model Name (Model Code): GR86 (ZN8); Model Year: 2022.,Portugal,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007526,
A12/00070/23,,,Motor vehicles,Passenger car,Mercedes-Benz,G-Class (AMG G 63 4x4²),"463A 4x4², e1*KS18/858*00011*00",11.9.2020 - 13.12.2022,,3591003,Injuries,"Cracks may appear in the rear axle transmission housing which can lead to oil leaks on the road, increasing the risk of an accident for other traffic. The cracks can also cause the casing to break, which can result in power transmission loss to the rear axle and impaired steering.  The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007531,
A12/00021/23,,,Motor vehicles,Passenger car,Kia,Sorento,e4*2007/46*1530*00,01.2020 - 01.2022,,221135,Injuries,"The electric oil pump within the 8-speed dual-clutch transmission (DCT) may experience an internal fault. This can result in a loss of driving power, increasing the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,KIA Sorento (MQ4),Poland,Republic of Korea,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007534,
A12/00061/23,,,Motor vehicles,Passenger car,Porsche,911,"992, e13*2007/46*0992*14",13.9.2022 - 29.11.2022,,ANB7,Injuries,"The leather of the instrument panel in the area of the passenger airbag may not be correctly bonded. In case of activation of the passenger airbag, deployment may be impeded, which may increase the risk of injury to the passenger in the event of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007535,
A12/00020/23,,,Motor vehicles,Passenger car,Kia,Sportage,"e11*2007/46*0136*10, e11*2007/46*0136*13, e11*2007/46*0136*15",15.05.2013 - 17.11.2015,,220S39,Fire,"The Hydraulic Electronic Control Unit (HECU) module could malfunction and cause an electrical short circuit.This could result in an engine compartment fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,KIA Sportage (SLe),Poland,Slovakia,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007563,
A12/00095/23,,,Motor vehicles,Passenger car,CITROEN,C3,e2*2007/46*0003*69,22.8.2022 - 23.8.2022,,JMY,Injuries,"Due to improper bolts of certain components (brake caliper, rear axle mount, ratchet wheel, ABS sensor, brake hose, brake hose bracket, front control arm, horizontal front control arm, anti-roll bar, power steering), the affected parts may be lost or damaged. This could lead to various malfunctions, such as a loss of connection between the rear wheel and axle tie rod, or a rupture of the rear brake line while the vehicle is in motion, increasing the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Slovakia,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007592,
A12/00059/23,,,Motor vehicles,Passenger car,Volvo,"Volvo V60 Cross Country, V90 Cross Country, XC60 and XC90.","e4*2007/46*0929, e4*2007/46*1067, e4*2007/46*1220, e4*2007/46*1315.",Model Year: 2019-2022.,,R10213,Injuries,"Due to a manufacturing defect, there may be a loose item within the steering gear. This can cause the steering to lock while driving, increasing the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): DistributorCategory of measure(s): Recall of the product from end usersDate of entry into force: 29/12/2022,,"Model (Type): Volvo V60 Cross Country (227), V90 Cross Country (236), XC60 (246) and XC90 (256).",Portugal,Sweden,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007607,
A12/00060/23,,,Motor vehicles,Passenger car,Renault,Austral / Megane,"e2*2007/46*0546*31 - 34 , e9*2018/858*30002*03 - 04",17.08.2022 - 05.12.2022,,OEF1,Injuries,"Due to insufficient tightening of the fixing screws of one or more wheels on the vehicle, these wheels may detach from the vehicle, increasing the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 03/01/2023,,Passenger car,France,Spain,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007617,
A12/01864/22,,,Motor vehicles,Passenger car,Bmw,"X1, iX1","U1X, e1*2018/858*00153*",28.06.2022 - 15.09.2022,,0054610100,"Fire, Injuries","When water penetrates the basic control unit, different electrical functions may be impaired, such as lights and central locking could malfunction, the steering and braking assistance may fail and the engine might stall. Moreover, this could lead to increased risk of fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007283,
